"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign","gene_name"
"ENSG00000244734",379.998729616834,7.84421118937002,1.82955540712019,4.28749583578733,1.80698643899325e-05,0.0160308608921725,"Upregulated","HBB"
"ENSG00000269981",16.6035379862284,7.62684286242212,1.8893933319322,4.03666231563467,5.42170192551598e-05,0.0291202973864697,"Upregulated","AL627309.7"
"ENSG00000213693",17.5314149471181,7.30355235113732,1.66801309028266,4.37859414514527,1.19447339780981e-05,0.0126153454714399,"Upregulated","SEC14L1P1"
"ENSG00000256618",320.151885313659,7.21441484699565,1.82156479763668,3.96055899650439,7.47745156675204e-05,0.0360526952823899,"Upregulated","MTRNR2L1"
"ENSG00000262655",16.0255836110932,7.04004451109933,1.74814661642944,4.02714763449219,5.64575854465122e-05,0.0291202973864697,"Upregulated","SPON1"
"ENSG00000145777",17.5200795592163,6.9942556971488,1.68056136180011,4.16185677960429,3.15670319941935e-05,0.0212159152302793,"Upregulated","TSLP"
"ENSG00000177483",13.4200440409067,6.78410610262587,1.68336577026257,4.03008438360231,5.57568331770127e-05,0.0291202973864697,"Upregulated","RBM44"
"ENSG00000154263",9.47124667504511,6.74159420451896,1.5802982903177,4.26602638617273,1.9898525660023e-05,0.0163455333560611,"Upregulated","ABCA10"
"ENSG00000135437",10.9502812133665,6.72365575017879,1.59314479447581,4.22036702093425,2.43904898538973e-05,0.0174502153054706,"Upregulated","RDH5"
"ENSG00000270060",9.87573137988152,6.64406459314256,1.66311963555358,3.99494086360843,6.47104028893667e-05,0.0326184551291651,"Upregulated","AC090589.3"
"ENSG00000273271",14.9367739776783,6.55031891502969,1.45240849425439,4.50997012269085,6.48367566601118e-06,0.00845890838802717,"Upregulated","AP000254.2"
"ENSG00000280039",18.6168704148091,5.79555190011105,1.41857897928631,4.08546297720187,4.39890146303849e-05,0.0250162142432643,"Upregulated","RN7SKP23"
"ENSG00000237515",37.1401223557129,5.72231838111821,1.34542600868244,4.25316468106781,2.10770455680093e-05,0.0166952783447457,"Upregulated","SHISA9"
"ENSG00000204681",46.3376942400618,5.41044443758507,1.09588447255039,4.93705730221145,7.93101735289937e-07,0.00251288619814222,"Upregulated","GABBR1"
"ENSG00000213058",251.010879633668,5.36406247085232,1.35639002201898,3.95466081567596,7.66433054849151e-05,0.0361674866457432,"Upregulated","AL365357.1"
"ENSG00000154548",28.0299339073004,5.31196309314203,1.29504196274331,4.10176909008385,4.10003327771822e-05,0.0245769292071655,"Upregulated","SRSF12"
"ENSG00000261490",35.7451790931473,5.09027308894838,1.20222713209763,4.23403610935559,2.29534064019795e-05,0.0170338093725291,"Upregulated","AC005674.2"
"ENSG00000188897",271.95972125034,4.57637301881384,1.0494669016933,4.36066445871703,1.29668080341385e-05,0.0126913787869162,"Upregulated","AC099489.1"
"ENSG00000215252",58.9790526352241,3.68576473063398,0.840592938604847,4.38472007241857,1.16135022257814e-05,0.0126153454714399,"Upregulated","GOLGA8B"
"ENSG00000167676",128.930325441283,3.56213247955177,0.704259697435806,5.05798144139359,4.23717658996268e-07,0.00187952679177565,"Upregulated","PLIN4"
"ENSG00000204099",54.4163669921346,3.48415072729002,0.679679574605834,5.12616659005913,2.95700985557481e-07,0.00163958803966984,"Upregulated","NEU4"
"ENSG00000135835",27.4252807472907,3.0577284198087,0.683630950069359,4.47277645855337,7.72104809176976e-06,0.0090129013488085,"Upregulated","KIAA1614"
"ENSG00000101104",73.4932033065978,2.8092125705457,0.6044042278403,4.64790357371221,3.35325590761647e-06,0.00611978596722427,"Upregulated","PABPC1L"
"ENSG00000175265",122.759355772956,2.62052260958663,0.467799215414321,5.60181061284098,2.12124252118099e-08,0.000470470378772732,"Upregulated","GOLGA8A"
"ENSG00000206149",28.520734764418,2.60283670718904,0.629110251761566,4.13732998294156,3.513706221809e-05,0.0222658543695719,"Upregulated","HERC2P9"
"ENSG00000088340",266.266763021741,2.03719921723041,0.389179446776721,5.23460124655347,1.65341420638268e-07,0.00163958803966984,"Upregulated","FER1L4"
"ENSG00000258441",94.5296986691339,2.02673793480946,0.478773740166565,4.23318524968465,2.30404563404965e-05,0.0170338093725291,"Upregulated","LINC00641"
"ENSG00000214456",167.384958009864,1.93530026020418,0.492169289123924,3.9321841142284,8.4177554067791e-05,0.0381015096259089,"Upregulated","PLIN5"
"ENSG00000224660",91.0257679599814,1.77784789128902,0.392111060790475,4.53404167611332,5.78656037331371e-06,0.00802125765748279,"Upregulated","SH3BP5-AS1"
"ENSG00000214021",224.867238134143,1.77475568610294,0.379789040735983,4.67300394625314,2.96826061288196e-06,0.00611978596722427,"Upregulated","TTLL3"
"ENSG00000146067",424.45946559411,1.62334970679679,0.316165341213458,5.13449608539095,2.82900981936923e-07,0.00163958803966984,"Upregulated","FAM193B"
"ENSG00000145425",70.5694117527137,1.59800655590202,0.34392394319011,4.6463951915633,3.37785624401138e-06,0.00611978596722427,"Upregulated","RPS3A"
"ENSG00000131797",143.361561936939,1.51878515436119,0.35538418494282,4.27364305647298,1.92304804242637e-05,0.0163455333560611,"Upregulated","CLUHP3"
"ENSG00000198563",586.614823495844,1.48450747094145,0.320352724197136,4.63397798368004,3.58705160620026e-06,0.00611978596722427,"Upregulated","DDX39B"
"ENSG00000172828",145.496932215718,1.3857803385819,0.358282305521238,3.86784476159331,0.000109801526416497,0.0487057610878298,"Upregulated","CES3"
"ENSG00000234741",390.688077501422,1.20621415727485,0.257313812460127,4.68771631706232,2.76270616461364e-06,0.00611978596722427,"Upregulated","GAS5"
"ENSG00000114857",854.212124465925,1.17118087266863,0.250720573440332,4.67125954842056,2.99358388269355e-06,0.00611978596722427,"Upregulated","NKTR"
"ENSG00000110274",295.052667074497,1.05118672458789,0.264694488057455,3.97132079440854,7.14752563111082e-05,0.0352277713272015,"Upregulated","CEP164"
"ENSG00000059588",415.404959353727,1.03946991689945,0.249049547592594,4.17374746088622,2.99629877113886e-05,0.0207671595140902,"Upregulated","TARBP1"
"ENSG00000124406",269.610923717289,1.00131404155317,0.240999187589231,4.15484405391379,3.25509474246743e-05,0.0212337489097603,"Upregulated","ATP8A1"
"ENSG00000100726",430.736069325042,0.976774469921717,0.238994014300831,4.08702482687376,4.36940377465642e-05,0.0250162142432643,"Upregulated","TELO2"
"ENSG00000197119",1203.9324147818,0.959760979911583,0.21068490779406,4.55543299214259,5.22777791459431e-06,0.00772979242451914,"Upregulated","SLC25A29"
"ENSG00000182979",626.716047770268,0.859478152344228,0.209429307246162,4.10390581741267,4.06232894887513e-05,0.0245769292071655,"Upregulated","MTA1"
"ENSG00000113649",919.075029228627,0.769637251980728,0.154390042329981,4.98501872507923,6.19558124344739e-07,0.00229019660664033,"Upregulated","TCERG1"
"ENSG00000110367",3990.69463138571,-0.40029490263431,0.101377882915653,-3.94854273064035,7.86283822349541e-05,0.0363312268664385,"Downregulated","DDX6"
"ENSG00000160208",745.521553014198,-0.587193538365315,0.136171985815104,-4.31214639964651,1.61677319147516e-05,0.0149410052557199,"Downregulated","RRP1B"
"ENSG00000163814",2415.80381835282,-0.603396146872005,0.148316872123572,-4.0682906687061,4.73592805560524e-05,0.0262595370863171,"Downregulated","CDCP1"
"ENSG00000174013",499.34634375143,-0.650698544588813,0.149331560348647,-4.35740805941903,1.31611755308658e-05,0.0126913787869162,"Downregulated","FBXO45"
"ENSG00000137628",1406.34276152832,-1.12323461473693,0.246397701654568,-4.55862456181359,5.14897225526543e-06,0.00772979242451914,"Downregulated","DDX60"
"ENSG00000111335",2987.61458566901,-1.29834998129605,0.289414927137709,-4.48611961427362,7.25320318202806e-06,0.00893715518745558,"Downregulated","OAS2"
